refund_id,transaction_id,timestamp,refund_amount,reason
ref_00000,txn_000010,2024-03-02,235.43,unauthorized
ref_00001,txn_000022,2024-03-15,20.81,unauthorized
ref_00002,txn_000027,2024-02-06,174.46,fraud
ref_00003,txn_000055,2024-02-28,28.96,fraud
ref_00004,txn_000074,2024-03-04,12.52,fraud
ref_00005,txn_000091,2024-02-09,12.21,fraud
ref_00006,txn_000121,2024-03-20,27.0,unauthorized
ref_00007,txn_000131,2024-04-07,29.86,fraud
ref_00008,txn_000145,2024-05-21,17.65,unauthorized
ref_00009,txn_000164,2024-04-18,37.09,fraud
ref_00010,txn_000172,2024-02-20,10.65,fraud
ref_00011,txn_000184,2024-03-23,104.72,fraud
ref_00012,txn_000214,2024-01-26,65.6,fraud
ref_00013,txn_000224,2024-03-16,42.88,fraud
ref_00014,txn_000225,2024-06-22,13.32,fraud
ref_00015,txn_000267,2024-04-21,25.92,fraud
ref_00016,txn_000294,2024-02-28,14.15,fraud
ref_00017,txn_000299,2024-04-09,43.62,buyer_remorse
ref_00018,txn_000301,2024-05-13,44.26,charged_twice
ref_00019,txn_000355,2024-03-19,1135.51,buyer_remorse
ref_00020,txn_000396,2024-04-07,7.75,charged_twice
ref_00021,txn_000409,2024-02-13,397.14,charged_twice
ref_00022,txn_000438,2024-02-11,29.01,charged_twice
ref_00023,txn_000441,2024-02-15,104.84,unauthorized
ref_00024,txn_000460,2024-05-12,886.97,buyer_remorse
ref_00025,txn_000469,2024-05-04,71.82,fraud
ref_00026,txn_000521,2024-04-01,63.47,buyer_remorse
ref_00027,txn_000523,2024-05-01,154.14,charged_twice
ref_00028,txn_000550,2024-04-30,33.8,unauthorized
ref_00029,txn_000569,2024-03-27,50.69,fraud
ref_00030,txn_000576,2024-03-20,27.06,fraud
ref_00031,txn_000582,2024-03-25,13.31,fraud
ref_00032,txn_000647,2024-04-20,274.13,buyer_remorse
ref_00033,txn_000712,2024-04-13,46.97,fraud
ref_00034,txn_000782,2024-03-22,31.85,fraud
ref_00035,txn_000787,2024-03-30,958.19,unauthorized
ref_00036,txn_000788,2024-01-21,191.03,fraud
ref_00037,txn_000801,2024-06-24,44.91,charged_twice
ref_00038,txn_000810,2024-04-26,65.91,fraud
ref_00039,txn_000823,2024-05-12,16.85,fraud
ref_00040,txn_000864,2024-03-17,117.01,buyer_remorse
ref_00041,txn_000882,2024-04-26,42.7,unauthorized
ref_00042,txn_000904,2024-02-21,47.5,charged_twice
ref_00043,txn_000914,2024-03-17,18.28,fraud
ref_00044,txn_000950,2024-06-01,50.68,charged_twice
ref_00045,txn_000975,2024-04-16,14.53,fraud
ref_00046,txn_000986,2024-05-26,180.73,fraud
ref_00047,txn_000993,2024-02-29,115.69,unauthorized
ref_00048,txn_001032,2024-03-18,54.35,unauthorized
ref_00049,txn_001033,2024-05-15,65.11,unauthorized
ref_00050,txn_001045,2024-03-04,28.72,fraud
ref_00051,txn_001063,2024-02-04,30.89,fraud
ref_00052,txn_001064,2024-05-02,27.53,charged_twice
ref_00053,txn_001093,2024-03-09,19.57,unauthorized
ref_00054,txn_001175,2024-06-10,248.45,buyer_remorse
ref_00055,txn_001201,2024-02-05,993.23,buyer_remorse
ref_00056,txn_001239,2024-02-18,418.95,buyer_remorse
ref_00057,txn_001270,2024-04-25,110.86,buyer_remorse
ref_00058,txn_001281,2024-05-04,57.94,unauthorized
ref_00059,txn_001302,2024-03-20,44.18,unauthorized
ref_00060,txn_001303,2024-02-01,101.24,unauthorized
ref_00061,txn_001317,2024-06-12,503.01,charged_twice
ref_00062,txn_001414,2024-03-31,30.25,unauthorized
ref_00063,txn_001438,2024-04-26,301.08,charged_twice
ref_00064,txn_001463,2024-06-10,20.69,fraud
ref_00065,txn_001472,2024-04-01,176.75,fraud
ref_00066,txn_001473,2024-03-13,113.99,fraud
ref_00067,txn_001483,2024-03-31,8.31,fraud
ref_00068,txn_001511,2024-05-01,69.98,fraud
ref_00069,txn_001589,2024-02-24,49.16,charged_twice
ref_00070,txn_001598,2024-05-23,83.19,fraud
ref_00071,txn_001603,2024-01-21,93.12,fraud
ref_00072,txn_001610,2024-04-05,116.67,buyer_remorse
ref_00073,txn_001627,2024-04-01,98.03,fraud
ref_00074,txn_001639,2024-03-19,25.32,charged_twice
ref_00075,txn_001644,2024-03-08,13.48,fraud
ref_00076,txn_001645,2024-04-24,17.83,fraud
ref_00077,txn_001646,2024-03-29,30.09,fraud
ref_00078,txn_001652,2024-03-23,63.08,charged_twice
ref_00079,txn_001656,2024-06-04,346.23,charged_twice
ref_00080,txn_001686,2024-03-03,23.77,fraud
ref_00081,txn_001714,2024-04-12,59.86,fraud
ref_00082,txn_001729,2024-05-19,4.15,fraud
ref_00083,txn_001750,2024-06-09,70.66,charged_twice
ref_00084,txn_001759,2024-01-29,11.56,fraud
ref_00085,txn_001767,2024-03-10,210.91,fraud
ref_00086,txn_001820,2024-02-05,526.44,fraud
ref_00087,txn_001838,2024-05-23,9.09,unauthorized
ref_00088,txn_001877,2024-03-18,69.39,unauthorized
ref_00089,txn_001890,2024-04-24,184.36,fraud
ref_00090,txn_001936,2024-01-30,11.05,unauthorized
ref_00091,txn_001942,2024-04-17,36.28,fraud
ref_00092,txn_001994,2024-04-06,147.78,charged_twice
ref_00093,txn_002008,2024-02-15,14.58,fraud
ref_00094,txn_002039,2024-03-16,25.66,charged_twice
ref_00095,txn_002060,2024-06-03,157.48,buyer_remorse
ref_00096,txn_002069,2024-06-17,69.39,fraud
ref_00097,txn_002108,2024-06-11,31.5,fraud
ref_00098,txn_002146,2024-04-18,34.73,fraud
ref_00099,txn_002153,2024-03-28,39.29,charged_twice
ref_00100,txn_002156,2024-04-26,52.02,charged_twice
ref_00101,txn_002159,2024-05-13,9.91,charged_twice
ref_00102,txn_002178,2024-02-19,275.9,fraud
ref_00103,txn_002193,2024-05-27,9.87,unauthorized
ref_00104,txn_002200,2024-02-14,45.19,charged_twice
ref_00105,txn_002201,2024-02-13,87.18,fraud
ref_00106,txn_002237,2024-04-14,30.52,charged_twice
ref_00107,txn_002247,2024-04-30,207.65,fraud
ref_00108,txn_002248,2024-06-09,237.11,fraud
ref_00109,txn_002259,2024-02-14,23.77,charged_twice
ref_00110,txn_002313,2024-01-28,233.41,buyer_remorse
ref_00111,txn_002324,2024-02-29,225.05,buyer_remorse
ref_00112,txn_002346,2024-02-15,8.57,charged_twice
ref_00113,txn_002353,2024-03-26,49.45,unauthorized
ref_00114,txn_002357,2024-02-24,27.34,fraud
ref_00115,txn_002362,2024-05-10,36.17,charged_twice
ref_00116,txn_002384,2024-01-16,95.75,fraud
ref_00117,txn_002400,2024-03-05,9.32,unauthorized
ref_00118,txn_002434,2024-06-26,815.64,fraud
ref_00119,txn_002463,2024-04-15,33.47,fraud
ref_00120,txn_002579,2024-04-11,89.43,unauthorized
ref_00121,txn_002630,2024-05-08,50.73,fraud
ref_00122,txn_002632,2024-01-30,230.31,unauthorized
ref_00123,txn_002645,2024-03-04,35.67,charged_twice
ref_00124,txn_002685,2024-03-19,236.42,charged_twice
ref_00125,txn_002690,2024-06-19,58.93,buyer_remorse
ref_00126,txn_002808,2024-05-22,98.44,fraud
ref_00127,txn_002820,2024-02-17,22.05,charged_twice
ref_00128,txn_002842,2024-02-12,7.34,fraud
ref_00129,txn_002888,2024-03-27,25.74,fraud
ref_00130,txn_002918,2024-06-10,55.91,fraud
ref_00131,txn_002933,2024-03-15,52.63,fraud
ref_00132,txn_002941,2024-04-22,57.7,fraud
ref_00133,txn_002958,2024-03-21,6.43,fraud
ref_00134,txn_002964,2024-05-30,135.07,fraud
ref_00135,txn_002982,2024-03-22,1529.91,fraud
ref_00136,txn_003022,2024-03-30,21.01,fraud
ref_00137,txn_003045,2024-03-29,26.28,unauthorized
ref_00138,txn_003085,2024-04-29,28.22,charged_twice
ref_00139,txn_003103,2024-03-17,26.04,fraud
ref_00140,txn_003104,2024-03-21,299.61,buyer_remorse
ref_00141,txn_003138,2024-05-10,223.85,unauthorized
ref_00142,txn_003147,2024-03-05,30.24,fraud
ref_00143,txn_003156,2024-04-08,9.37,unauthorized
ref_00144,txn_003209,2024-06-06,26.25,charged_twice
ref_00145,txn_003224,2024-04-02,29.13,fraud
ref_00146,txn_003237,2024-03-20,462.47,charged_twice
ref_00147,txn_003313,2024-03-29,53.59,fraud
ref_00148,txn_003339,2024-03-25,66.69,fraud
