ticket_id,user_id,timestamp,issue_type,resolution_time
tkt_00000,user_00002,2024-02-29 11:00:00,fraud,35
tkt_00001,user_00002,2024-04-01 01:00:00,charged_twice,47
tkt_00002,user_00003,2024-05-09 21:00:00,payment_failed,2
tkt_00003,user_00005,2024-03-09 10:00:00,payment_failed,3
tkt_00004,user_00006,2024-02-03 08:00:00,charged_twice,59
tkt_00005,user_00011,2024-02-06 15:00:00,charged_twice,36
tkt_00006,user_00019,2024-03-16 10:00:00,charged_twice,37
tkt_00007,user_00019,2024-01-29 19:00:00,payment_failed,56
tkt_00008,user_00024,2024-04-10 06:00:00,payment_failed,34
tkt_00009,user_00025,2024-03-13 20:00:00,other,17
tkt_00010,user_00027,2024-04-03 16:00:00,fraud,14
tkt_00011,user_00029,2024-05-18 06:00:00,charged_twice,48
tkt_00012,user_00033,2024-02-28 18:00:00,fraud,62
tkt_00013,user_00033,2024-04-11 00:00:00,payment_failed,51
tkt_00014,user_00037,2024-06-02 16:00:00,fraud,69
tkt_00015,user_00041,2024-02-22 01:00:00,fraud,15
tkt_00016,user_00042,2024-01-20 21:00:00,charged_twice,54
tkt_00017,user_00047,2024-02-26 05:00:00,charged_twice,36
tkt_00018,user_00051,2024-04-18 04:00:00,charged_twice,53
tkt_00019,user_00052,2024-01-29 01:00:00,payment_failed,7
tkt_00020,user_00056,2024-02-25 19:00:00,charged_twice,64
tkt_00021,user_00057,2024-02-26 02:00:00,fraud,50
tkt_00022,user_00066,2024-02-20 04:00:00,payment_failed,61
tkt_00023,user_00067,2024-01-29 22:00:00,payment_failed,56
tkt_00024,user_00080,2024-04-18 08:00:00,charged_twice,71
tkt_00025,user_00082,2024-02-03 15:00:00,other,63
tkt_00026,user_00082,2024-02-03 13:00:00,payment_failed,71
tkt_00027,user_00085,2024-05-06 17:00:00,charged_twice,28
tkt_00028,user_00086,2024-01-09 19:00:00,fraud,32
tkt_00029,user_00087,2024-05-04 10:00:00,fraud,24
tkt_00030,user_00098,2024-04-28 16:00:00,fraud,24
tkt_00031,user_00103,2024-04-27 05:00:00,fraud,10
tkt_00032,user_00109,2024-03-04 14:00:00,fraud,37
tkt_00033,user_00109,2024-03-24 19:00:00,other,19
tkt_00034,user_00116,2024-06-06 09:00:00,payment_failed,52
tkt_00035,user_00130,2024-05-02 18:00:00,charged_twice,31
tkt_00036,user_00144,2024-03-21 23:00:00,charged_twice,53
tkt_00037,user_00148,2024-03-22 23:00:00,other,69
tkt_00038,user_00148,2024-01-13 09:00:00,payment_failed,70
tkt_00039,user_00151,2024-06-12 09:00:00,charged_twice,2
tkt_00040,user_00152,2024-04-13 18:00:00,charged_twice,36
tkt_00041,user_00152,2024-04-21 12:00:00,fraud,25
tkt_00042,user_00153,2024-02-26 22:00:00,charged_twice,10
tkt_00043,user_00159,2024-02-08 13:00:00,charged_twice,38
tkt_00044,user_00161,2024-02-24 08:00:00,charged_twice,61
