transaction_id,user_id,timestamp,amount,status,payment_method,experiment_variant
txn_000000,user_00000,2024-04-12,21.15,success,bank,fast_checkout
txn_000001,user_00000,2024-05-07,95.76,success,card,fast_checkout
txn_000002,user_00000,2024-03-30,53.83,success,card,fast_checkout
txn_000003,user_00001,2024-03-30,312.07,success,card,fast_checkout
txn_000004,user_00001,2024-03-02,209.63,success,card,fast_checkout
txn_000005,user_00001,2024-03-05,196.63,success,bank,fast_checkout
txn_000006,user_00001,2024-06-05,263.75,success,bank,fast_checkout
txn_000007,user_00002,2024-05-16,33.24,success,card,fast_checkout
txn_000008,user_00002,2024-03-27,138.27,success,card,fast_checkout
txn_000009,user_00002,2024-01-31,32.0,success,card,control
txn_000010,user_00002,2024-02-29,235.43,disputed,card,fast_checkout
txn_000011,user_00002,2024-04-01,16.7,failed,bank,fast_checkout
txn_000012,user_00003,2024-02-05,142.31,success,card,control
txn_000013,user_00003,2024-02-26,194.35,success,wallet,fast_checkout
txn_000014,user_00003,2024-03-17,108.78,success,card,fast_checkout
txn_000015,user_00003,2024-05-08,393.52,success,wallet,fast_checkout
txn_000016,user_00003,2024-02-25,354.12,success,bank,control
txn_000017,user_00003,2024-05-03,103.81,success,wallet,fast_checkout
txn_000018,user_00003,2024-02-27,180.05,success,card,control
txn_000019,user_00004,2024-04-22,683.92,success,card,fast_checkout
txn_000020,user_00004,2024-05-22,619.35,success,bank,fast_checkout
txn_000021,user_00004,2024-03-21,298.61,success,card,fast_checkout
txn_000022,user_00005,2024-03-09,20.81,disputed,card,fast_checkout
txn_000023,user_00005,2024-04-06,11.31,success,wallet,fast_checkout
txn_000024,user_00005,2024-01-16,83.92,success,bank,control
txn_000025,user_00006,2024-05-18,44.68,success,card,fast_checkout
txn_000026,user_00006,2024-01-25,17.85,success,card,control
txn_000027,user_00006,2024-02-02,174.46,disputed,card,fast_checkout
txn_000028,user_00006,2024-05-07,135.98,success,bank,fast_checkout
txn_000029,user_00007,2024-04-05,1000.58,success,card,fast_checkout
txn_000030,user_00007,2024-02-12,1002.88,success,card,control
txn_000031,user_00007,2024-06-03,1183.67,success,card,fast_checkout
txn_000032,user_00008,2024-05-20,56.13,success,bank,fast_checkout
txn_000033,user_00008,2024-06-16,16.35,success,card,fast_checkout
txn_000034,user_00008,2024-03-09,20.53,success,wallet,fast_checkout
txn_000035,user_00008,2024-06-05,61.37,success,card,fast_checkout
txn_000036,user_00008,2024-04-30,55.36,success,card,fast_checkout
txn_000037,user_00008,2024-03-27,9.54,success,card,fast_checkout
txn_000038,user_00008,2024-05-06,43.37,success,card,fast_checkout
txn_000039,user_00009,2024-02-21,55.34,success,card,fast_checkout
txn_000040,user_00009,2024-04-09,74.44,success,card,fast_checkout
