user_id,signup_date,segment,country,risk_score
user_00000,2024-02-08,consumer,US,medium
user_00001,2024-02-21,small_business,US,medium
user_00002,2024-01-29,consumer,US,high
user_00003,2024-01-15,small_business,UK,low
user_00004,2024-02-12,small_business,US,medium
user_00005,2024-01-08,consumer,US,low
user_00006,2024-01-21,consumer,US,medium
user_00007,2024-02-08,enterprise,UK,low
user_00008,2024-02-27,consumer,CA,low
user_00009,2024-01-19,consumer,US,medium
user_00010,2024-01-23,consumer,US,low
user_00011,2024-01-11,consumer,US,low
user_00012,2024-01-11,consumer,UK,low
user_00013,2024-01-24,small_business,US,medium
user_00014,2024-02-22,enterprise,US,medium
user_00015,2024-02-05,consumer,UK,medium
user_00016,2024-02-09,consumer,CA,medium
user_00017,2024-01-24,consumer,US,low
user_00018,2024-01-03,consumer,UK,low
user_00019,2024-01-22,consumer,US,low
user_00020,2024-02-22,enterprise,CA,low
user_00021,2024-01-02,small_business,US,low
user_00022,2024-01-24,consumer,US,low
user_00023,2024-02-13,consumer,CA,low
user_00024,2024-01-30,consumer,US,medium
user_00025,2024-02-07,consumer,US,low
user_00026,2024-01-02,consumer,US,medium
user_00027,2024-02-29,consumer,CA,medium
user_00028,2024-01-21,enterprise,US,medium
user_00029,2024-02-02,consumer,CA,high
user_00030,2024-01-12,consumer,US,low
user_00031,2024-02-27,small_business,US,medium
user_00032,2024-01-22,consumer,US,medium
user_00033,2024-02-13,consumer,US,low
user_00034,2024-01-25,consumer,UK,medium
user_00035,2024-02-18,consumer,UK,low
user_00036,2024-01-27,small_business,US,low
user_00037,2024-02-28,consumer,US,low
user_00038,2024-02-11,small_business,UK,high
user_00039,2024-01-28,consumer,CA,medium
user_00040,2024-02-29,consumer,UK,medium
user_00041,2024-01-16,small_business,CA,medium
user_00042,2024-01-15,consumer,US,low
user_00043,2024-02-16,consumer,CA,low
user_00044,2024-02-20,consumer,US,medium
user_00045,2024-02-13,consumer,US,low
user_00046,2024-02-24,consumer,CA,low
user_00047,2024-02-21,consumer,CA,low
user_00048,2024-02-26,consumer,UK,low
user_00049,2024-01-03,consumer,US,medium
user_00050,2024-02-06,enterprise,US,low
user_00051,2024-02-20,consumer,US,medium
user_00052,2024-01-07,small_business,CA,medium
user_00053,2024-01-21,consumer,US,low
user_00054,2024-01-09,consumer,CA,low
user_00055,2024-02-08,small_business,US,low
user_00056,2024-01-18,consumer,CA,high
user_00057,2024-01-04,small_business,CA,low
user_00058,2024-01-25,consumer,US,low
user_00059,2024-02-29,consumer,US,medium
user_00060,2024-01-14,consumer,CA,low
user_00061,2024-02-19,consumer,US,high
user_00062,2024-02-27,small_business,UK,medium
user_00063,2024-01-09,consumer,UK,low
user_00064,2024-01-26,enterprise,US,medium
user_00065,2024-02-22,enterprise,CA,low
user_00066,2024-01-02,consumer,US,medium
user_00067,2024-01-20,consumer,CA,medium
user_00068,2024-01-28,small_business,US,low
user_00069,2024-02-16,enterprise,UK,low
user_00070,2024-02-29,consumer,US,high
user_00071,2024-01-07,consumer,US,low
user_00072,2024-02-13,consumer,US,medium
user_00073,2024-01-08,consumer,UK,low
user_00074,2024-02-16,consumer,US,low
user_00075,2024-02-04,small_business,CA,medium
user_00076,2024-01-14,consumer,US,low
user_00077,2024-01-17,consumer,UK,medium
user_00078,2024-02-05,consumer,UK,low
user_00079,2024-02-19,consumer,US,low
user_00080,2024-02-09,consumer,US,high
user_00081,2024-01-04,consumer,US,low
user_00082,2024-01-02,consumer,US,high
user_00083,2024-01-06,consumer,US,high
user_00084,2024-02-23,consumer,UK,high
user_00085,2024-02-11,enterprise,US,medium
user_00086,2024-01-04,consumer,UK,low
user_00087,2024-02-23,consumer,CA,high
user_00088,2024-01-29,consumer,US,low
user_00089,2024-01-18,enterprise,UK,low
user_00090,2024-01-26,consumer,US,low
user_00091,2024-02-13,consumer,CA,low
user_00092,2024-02-03,small_business,US,medium
user_00093,2024-01-10,consumer,UK,low
user_00094,2024-02-05,consumer,AU,low
user_00095,2024-01-14,consumer,US,low
user_00096,2024-01-31,consumer,UK,low
user_00097,2024-02-17,consumer,US,medium
user_00098,2024-01-15,small_business,US,low
user_00099,2024-01-08,consumer,UK,low
user_00100,2024-01-14,small_business,US,low
user_00101,2024-01-23,consumer,UK,low
user_00102,2024-02-29,small_business,US,low
user_00103,2024-02-26,consumer,CA,low
user_00104,2024-02-09,consumer,US,low
user_00105,2024-01-21,consumer,US,low
user_00106,2024-01-16,enterprise,US,low
user_00107,2024-02-14,consumer,US,high
user_00108,2024-01-18,consumer,US,low
user_00109,2024-02-16,consumer,US,medium
user_00110,2024-02-22,consumer,US,medium
user_00111,2024-01-24,consumer,US,low
user_00112,2024-01-26,consumer,US,high
user_00113,2024-01-25,consumer,US,medium
user_00114,2024-02-29,consumer,US,medium
user_00115,2024-02-29,consumer,AU,low
user_00116,2024-02-29,consumer,US,low
user_00117,2024-02-14,small_business,US,low
user_00118,2024-02-10,consumer,US,low
user_00119,2024-01-29,consumer,CA,medium
user_00120,2024-01-15,consumer,US,medium
user_00121,2024-02-14,enterprise,UK,low
user_00122,2024-01-01,enterprise,US,medium
user_00123,2024-01-25,small_business,US,medium
user_00124,2024-01-07,consumer,CA,low
user_00125,2024-01-09,consumer,US,low
user_00126,2024-01-24,consumer,US,low
user_00127,2024-01-01,consumer,CA,medium
user_00128,2024-02-13,consumer,UK,medium
user_00129,2024-01-08,small_business,CA,low
user_00130,2024-01-24,small_business,UK,low
user_00131,2024-01-11,small_business,UK,medium
user_00132,2024-02-20,consumer,CA,medium
user_00133,2024-01-17,consumer,US,low
user_00134,2024-01-08,consumer,UK,low
user_00135,2024-02-04,consumer,UK,medium
user_00136,2024-02-04,small_business,US,low
user_00137,2024-02-02,consumer,US,low
user_00138,2024-02-28,consumer,US,medium
user_00139,2024-01-05,consumer,UK,low
user_00140,2024-02-11,consumer,US,medium
user_00141,2024-02-08,small_business,AU,low
user_00142,2024-02-27,consumer,US,low
user_00143,2024-02-10,small_business,UK,low
user_00144,2024-01-28,consumer,US,low
user_00145,2024-01-07,consumer,UK,low
user_00146,2024-01-09,small_business,UK,medium
user_00147,2024-01-08,consumer,UK,low
user_00148,2024-01-12,enterprise,CA,high
user_00149,2024-02-03,consumer,CA,low
user_00150,2024-02-02,consumer,US,low
user_00151,2024-02-17,consumer,US,low
user_00152,2024-02-24,small_business,UK,medium
user_00153,2024-01-23,consumer,US,low
user_00154,2024-01-24,small_business,US,low
user_00155,2024-02-06,consumer,US,medium
user_00156,2024-02-04,consumer,US,low
user_00157,2024-02-13,consumer,US,low
user_00158,2024-02-09,consumer,CA,low
user_00159,2024-01-22,consumer,US,medium
user_00160,2024-01-27,small_business,US,low
user_00161,2024-02-04,consumer,US,medium
user_00162,2024-01-01,consumer,CA,medium
user_00163,2024-02-04,consumer,AU,medium
user_00164,2024-02-06,consumer,UK,low
user_00165,2024-02-16,consumer,US,high
user_00166,2024-01-14,consumer,CA,low
user_00167,2024-01-03,consumer,UK,low
